CSA,indicator,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,20ze
Allendale/Irvington/S. Hilton,Hhsi,,,,,,,,,,,,2.64
Allendale/Irvington/S. Hilton,affordm,49.423868,49.281553,49.423868,44.089069,50.8268,47.372992,45.519203,43.455985,47.194389,37.189244,,
Allendale/Irvington/S. Hilton,affordr,57.358653,53.271849,49.814891,44.089069,51.0082,49.361862,46.942204,45.896757,46.264368,43.290585,,
Allendale/Irvington/S. Hilton,age18_,18.431276,,,,,16.560945,17.067555,17.374148,17.251853,16.927299,,
Allendale/Irvington/S. Hilton,age24_,10.254671,,,,,10.317164,10.324144,9.003946,9.124043,9.044488,,
Allendale/Irvington/S. Hilton,age5_,6.579515,,,,,8.58209,7.428052,6.61246,6.39655,5.419034,,
Allendale/Irvington/S. Hilton,age64_,51.914657,,,,,51.001244,51.287489,53.288294,53.255983,54.57969,,
Allendale/Irvington/S. Hilton,age65_,12.82,,,,,13.538557,13.89276,13.721153,13.971571,14.029489,,
Allendale/Irvington/S. Hilton,baltvac,,2.973978,2.826855,1.712329,,,,1.234568,0.879765,1.302083,1.612903,
Allendale/Irvington/S. Hilton,constper,,0.0,0.900252,0.0,3.578458,11.629987,1.236749,0.0,0.0,0.0,0.0,
Allendale/Irvington/S. Hilton,crime,40.574706,46.186101,45.446137,47.296047,55.1273,59.320466,49.577604,61.108713,62.40365,60.862058,47.481038,
Allendale/Irvington/S. Hilton,dom,85.0,55.0,58.0,56.5,43.0,56.0,38.0,33.0,30.0,30.0,25.5,
Allendale/Irvington/S. Hilton,domvio,59.38213,65.425171,60.985386,,,,,,,,,
Allendale/Irvington/S. Hilton,fam,35.946212,,,,,33.97554,33.785108,35.198822,34.568511,32.339298,,
Allendale/Irvington/S. Hilton,female,8971.0,,,,,,,,,,,
Allendale/Irvington/S. Hilton,femhhs,63.594891,,,,,66.617357,69.743838,71.129707,70.795617,70.235656,,
Allendale/Irvington/S. Hilton,fore,2.59,1.28,1.96255,3.286638,2.80909,2.039721,2.084806,1.458956,1.634734,1.513043,0.4,
Allendale/Irvington/S. Hilton,hh25inc,39.27,39.285349,37.75892,32.362829,35.6125,36.069693,34.895493,32.989691,32.36166,28.379722,,
Allendale/Irvington/S. Hilton,hh40inc,17.14,16.545226,19.024686,19.121571,19.4403,18.847378,19.790986,17.72214,19.499341,17.196819,,
Allendale/Irvington/S. Hilton,hh60inc,18.42,16.759114,14.472567,16.335742,16.6248,16.786731,17.929458,19.914908,18.889987,22.166998,,
Allendale/Irvington/S. Hilton,hh75inc,6.2,7.862864,10.461679,14.039422,12.4518,12.732451,13.177662,11.945672,10.09552,10.1723,,
Allendale/Irvington/S. Hilton,hhchpov,,,,,41.549138,38.931487,34.727823,32.77053,35.273791,32.601602,,
Allendale/Irvington/S. Hilton,hhm75,18.96,19.547447,18.282149,18.140435,15.87,15.563746,14.206401,17.42759,19.153491,22.084162,,
Allendale/Irvington/S. Hilton,hhpov,,,,,,24.147122,21.282648,20.695061,23.002939,19.177696,,
Allendale/Irvington/S. Hilton,hhs,6098.0,,,,,,,,,6036.0,,
Allendale/Irvington/S. Hilton,juvarr,,47.004132,67.665289,64.566116,42.355372,21.177686,,,,,,
Allendale/Irvington/S. Hilton,juvdrug,,18.595041,10.847107,16.012397,6.714876,1.549587,,,,,,
Allendale/Irvington/S. Hilton,juvviol,,11.880165,25.309917,11.363636,12.396694,8.264463,,,,,,
Allendale/Irvington/S. Hilton,male,7246.0,,,,,,,,,,,
Allendale/Irvington/S. Hilton,mhhi,33563.12,33504.324121,33177.658915,38129.073308,35958.253351,36701.906742,37302.171053,39495.628472,38535.562176,43019.75792,,
Allendale/Irvington/S. Hilton,ownroc,66.0,61.64,61.775297,60.290948,58.149937,58.149937,55.830389,55.528212,55.528212,52.26087,52.26087,
Allendale/Irvington/S. Hilton,p2more,1.30727,,,,,2.151741,2.096334,1.004424,1.257441,1.238272,3.149447,
Allendale/Irvington/S. Hilton,paa,88.166739,,,,,86.865672,87.409876,90.284587,88.713401,89.072573,85.210413,
Allendale/Irvington/S. Hilton,pasi,0.456311,,,,,0.422886,0.242351,0.113596,0.085044,0.370205,1.04532,
Allendale/Irvington/S. Hilton,phisp,1.288771,,,,,1.560945,1.599515,,2.703195,2.802068,3.135959,
Allendale/Irvington/S. Hilton,phsip,,,,,,,,2.062657,,,,
Allendale/Irvington/S. Hilton,ppac,0.456311,,,,,0.043532,0.0,0.0,0.103268,0.236165,0.600216,
Allendale/Irvington/S. Hilton,prop,,33.668373,31.571807,33.915027,44.5212,43.842881,32.681754,39.773078,41.746316,41.068015,29.166924,
Allendale/Irvington/S. Hilton,pwhite,8.324598,,,,,8.955224,8.651924,6.534736,7.13765,6.280717,6.858646,
Allendale/Irvington/S. Hilton,racdiv,22.857311,,,,,24.729153,23.915683,20.115274,23.987682,23.160518,,
Allendale/Irvington/S. Hilton,reosa,,53.47,29.347826,8.333333,4.43038,3.726708,1.092896,1.234568,28.16092,17.647059,12.608696,
Allendale/Irvington/S. Hilton,resrehab,1.29,1.55,1.386388,1.59842,1.413491,1.789229,1.731449,2.460889,2.706978,3.248181,3.947826,
