CSA,indicator,indicator_category,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2006 - 2010
Allendale/Irvington/S. Hilton,femaleXX,Census Demographics,10640.0,,,,,,,,,,8971.0,
Beechfield/Ten Hills/West Hills,femaleXX,Census Demographics,7110.0,,,,,,,,,,6698.0,
Belair-Edison,femaleXX,Census Demographics,9516.0,,,,,,,,,,9525.0,
Brooklyn/Curtis Bay/Hawkins Point,femaleXX,Census Demographics,6972.0,,,,,,,,,,7262.0,
Canton,femaleXX,Census Demographics,3546.0,,,,,,,,,,4089.0,
Cedonia/Frankford,femaleXX,Census Demographics,12404.0,,,,,,,,,,12769.0,
Cherry Hill,femaleXX,Census Demographics,4485.0,,,,,,,,,,4859.0,
Chinquapin Park/Belvedere,femaleXX,Census Demographics,4551.0,,,,,,,,,,4229.0,
Claremont/Armistead,femaleXX,Census Demographics,4612.0,,,,,,,,,,4514.0,
Clifton-Berea,femaleXX,Census Demographics,6804.0,,,,,,,,,,5401.0,
Cross-Country/Cheswolde,femaleXX,Census Demographics,6415.0,,,,,,,,,,7078.0,
Dickeyville/Franklintown,femaleXX,Census Demographics,2549.0,,,,,,,,,,2368.0,
Dorchester/Ashburton,femaleXX,Census Demographics,7005.0,,,,,,,,,,6548.0,
Downtown/Seton Hill,femaleXX,Census Demographics,2150.0,,,,,,,,,,3282.0,
Edmondson Village,femaleXX,Census Demographics,4950.0,,,,,,,,,,4422.0,
Fells Point,femaleXX,Census Demographics,4056.0,,,,,,,,,,4426.0,
Forest Park/Walbrook,femaleXX,Census Demographics,6247.0,,,,,,,,,,5380.0,
Glen-Falstaff,femaleXX,Census Demographics,8354.0,,,,,,,,,,8131.0,
Greater Charles Village/Barclay,femaleXX,Census Demographics,8254.0,,,,,,,,,,7863.0,
Greater Govans,femaleXX,Census Demographics,6396.0,,,,,,,,,,5915.0,
Greater Mondawmin,femaleXX,Census Demographics,5546.0,,,,,,,,,,5278.0,
Greater Roland Park/Poplar Hill,femaleXX,Census Demographics,3871.0,,,,,,,,,,3845.0,
Greater Rosemont,femaleXX,Census Demographics,12081.0,,,,,,,,,,10476.0,
Greenmount East,femaleXX,Census Demographics,6138.0,,,,,,,,,,4447.0,
Hamilton,femaleXX,Census Demographics,6708.0,,,,,,,,,,6990.0,
Harbor East/Little Italy,femaleXX,Census Demographics,,,,,,,,,,,2779.0,
Harford/Echodale,femaleXX,Census Demographics,8970.0,,,,,,,,,,8875.0,
