CSA,year
Allendale/Irvington/S. Hilton,"['2000', '2001', '2002', '2003', '2004', '2005', '2006', '2006 - 2010', '2007', '2008', '2009', '2010', '2011', '2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020']"
Baltimore City,"['2000', '2001', '2002', '2003', '2004', '2005', '2006', '2006 - 2010', '2007', '2008', '2009', '2010']"
Beechfield/Ten Hills/West Hills,"['2000', '2001', '2002', '2003', '2004', '2005', '2006', '2006 - 2010', '2007', '2008', '2009', '2010', '2011', '2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020']"
Belair-Edison,"['2000', '2001', '2002', '2003', '2004', '2005', '2006', '2006 - 2010', '2007', '2008', '2009', '2010', '2011', '2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020']"
Brooklyn/Curtis Bay/Hawkins Point,"['2000', '2001', '2002', '2003', '2004', '2005', '2006', '2006 - 2010', '2007', '2008', '2009', '2010', '2011', '2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020']"
Canton,"['2000', '2001', '2002', '2003', '2004', '2005', '2006', '2006 - 2010', '2007', '2008', '2009', '2010', '2011', '2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020']"
Cedonia/Frankford,"['2000', '2001', '2002', '2003', '2004', '2005', '2006', '2006 - 2010', '2007', '2008', '2009', '2010', '2011', '2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020']"
Cherry Hill,"['2000', '2001', '2002', '2003', '2004', '2005', '2006', '2006 - 2010', '2007', '2008', '2009', '2010', '2011', '2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020']"
Chinquapin Park/Belvedere,"['2000', '2001', '2002', '2003', '2004', '2005', '2006', '2006 - 2010', '2007', '2008', '2009', '2010', '2011', '2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020']"
Claremont/Armistead,"['2000', '2001', '2002', '2003', '2004', '2005', '2006', '2006 - 2010', '2007', '2008', '2009', '2010', '2011', '2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020']"
Clifton-Berea,"['2000', '2001', '2002', '2003', '2004', '2005', '2006', '2006 - 2010', '2007', '2008', '2009', '2010', '2011', '2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020']"
Cross-Country/Cheswolde,"['2000', '2001', '2002', '2003', '2004', '2005', '2006', '2006 - 2010', '2007', '2008', '2009', '2010', '2011', '2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020']"
Dickeyville/Franklintown,"['2000', '2001', '2002', '2003', '2004', '2005', '2006', '2006 - 2010', '2007', '2008', '2009', '2010', '2011', '2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020']"
Dorchester/Ashburton,"['2000', '2001', '2002', '2003', '2004', '2005', '2006', '2006 - 2010', '2007', '2008', '2009', '2010', '2011', '2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020']"
Downtown/Seton Hill,"['2000', '2001', '2002', '2003', '2004', '2005', '2006', '2006 - 2010', '2007', '2008', '2009', '2010', '2011', '2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020']"
Edmondson Village,"['2000', '2001', '2002', '2003', '2004', '2005', '2006', '2006 - 2010', '2007', '2008', '2009', '2010', '2011', '2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020']"
Fells Point,"['2000', '2001', '2002', '2003', '2004', '2005', '2006', '2006 - 2010', '2007', '2008', '2009', '2010', '2011', '2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020']"
Forest Park/Walbrook,"['2000', '2001', '2002', '2003', '2004', '2005', '2006', '2006 - 2010', '2007', '2008', '2009', '2010', '2011', '2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020']"
Glen-Fallstaff,"['2000', '2001', '2002', '2003', '2004', '2005', '2006', '2006 - 2010', '2007', '2008', '2009', '2010', '2011', '2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020']"
Greater Charles Village/Barclay,"['2000', '2001', '2002', '2003', '2004', '2005', '2006', '2006 - 2010', '2007', '2008', '2009', '2010', '2011', '2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020']"
Greater Govans,"['2000', '2001', '2002', '2003', '2004', '2005', '2006', '2006 - 2010', '2007', '2008', '2009', '2010', '2011', '2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020']"
Greater Mondawmin,"['2000', '2001', '2002', '2003', '2004', '2005', '2006', '2006 - 2010', '2007', '2008', '2009', '2010', '2011', '2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020']"
Greater Roland Park/Poplar Hill,"['2000', '2001', '2002', '2003', '2004', '2005', '2006', '2006 - 2010', '2007', '2008', '2009', '2010', '2011', '2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020']"
Greater Rosemont,"['2000', '2001', '2002', '2003', '2004', '2005', '2006', '2006 - 2010', '2007', '2008', '2009', '2010', '2011', '2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020']"
Greenmount East,"['2000', '2001', '2002', '2003', '2004', '2005', '2006', '2006 - 2010', '2007', '2008', '2009', '2010', '2011', '2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020']"
Hamilton,"['2000', '2001', '2002', '2003', '2004', '2005', '2006', '2006 - 2010', '2007', '2008', '2009', '2010', '2011', '2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020']"
Harbor East/Little Italy,"['2000', '2001', '2002', '2003', '2004', '2005', '2006', '2006 - 2010', '2007', '2008', '2009', '2010', '2011', '2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020']"
Harford/Echodale,"['2000', '2001', '2002', '2003', '2004', '2005', '2006', '2006 - 2010', '2007', '2008', '2009', '2010', '2011', '2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020']"
Highlandtown,"['2000', '2001', '2002', '2003', '2004', '2005', '2006', '2006 - 2010', '2007', '2008', '2009', '2010', '2011', '2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020']"
Howard Park/West Arlington,"['2000', '2001', '2002', '2003', '2004', '2005', '2006', '2006 - 2010', '2007', '2008', '2009', '2010', '2011', '2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020']"
Inner Harbor/Federal Hill,"['2000', '2001', '2002', '2003', '2004', '2005', '2006', '2006 - 2010', '2007', '2008', '2009', '2010', '2011', '2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020']"
Jonestown/Oldtown,"['2000', '2001', '2002', '2003', '2004', '2005', '2006', '2006 - 2010', '2007', '2008', '2009', '2010']"
Lauraville,"['2000', '2001', '2002', '2003', '2004', '2005', '2006', '2006 - 2010', '2007', '2008', '2009', '2010', '2011', '2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020']"
Loch Raven,"['2000', '2001', '2002', '2003', '2004', '2005', '2006', '2006 - 2010', '2007', '2008', '2009', '2010', '2011', '2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020']"
Madison/East End,"['2000', '2001', '2002', '2003', '2004', '2005', '2006', '2006 - 2010', '2007', '2008', '2009', '2010', '2011', '2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020']"
Medfield/Hampden/Woodberry,"['2000', '2001', '2002', '2003', '2004', '2005', '2006', '2006 - 2010', '2007', '2008', '2009', '2010']"
Medfield/Hampden/Woodberry/Remington,"['2010', '2011', '2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020']"
Midtown,"['2000', '2001', '2002', '2003', '2004', '2005', '2006', '2006 - 2010', '2007', '2008', '2009', '2010', '2011', '2012', '2013', '2014', '2015', '2016', '2017', '2018', '2019', '2020']"
