CSA,indicator,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Allendale/Irvington/S. Hilton,Fastfd,,0.554973,,0.801628,,,,,0.616637,,
Allendale/Irvington/S. Hilton,aastud,94.91953,93.9,92.97,93.36,93.54,93.27,92.45,91.903915,,92.406362,92.245119
Allendale/Irvington/S. Hilton,abse,14.66905,20.636451,15.6156,16.6134,16.704,21.383,16.9691,20.041537,,24.818402,
Allendale/Irvington/S. Hilton,abshs,41.16541,38.27957,38.9791,35.6635,37.6574,40.136054,38.418863,55.569948,,52.461538,
Allendale/Irvington/S. Hilton,absmd,28.78179,20.032051,14.6758,14.6712,17.4632,17.6895,17.5277,23.976608,,26.004228,
Allendale/Irvington/S. Hilton,artevnt,,,,,0.184991,0.801628,0.369982,0.616637,0.369982,0.369982,0.0
Allendale/Irvington/S. Hilton,bahigher,,11.813986,10.976472,11.728207,11.56,10.955868,9.936791,9.921485,9.288877,11.628989,
Allendale/Irvington/S. Hilton,birthwt,87.445887,83.77193,83.829787,85.267857,88.546256,85.844749,86.47343,87.431694,86.255924,85.310734,
Allendale/Irvington/S. Hilton,caracc,,43.966208,43.041253,,,66.720109,75.476352,83.060985,73.749769,65.178516,51.304187
Allendale/Irvington/S. Hilton,caslt,,84.355923,79.731146,,,68.570019,69.24832,85.835851,78.312882,67.213418,59.875439
Allendale/Irvington/S. Hilton,compl,80.34934,83.94,78.13953,82.68156,86.294416,77.647059,75.510204,75.141243,,75.838926,73.856209
Allendale/Irvington/S. Hilton,drop,3.759398,4.946237,2.730375,2.014218,2.644836,3.537415,3.190014,4.792746,,4.615385,1.702786
Allendale/Irvington/S. Hilton,ebll,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Allendale/Irvington/S. Hilton,empl,50.466667,48.991014,57.691151,60.330821,57.5861,57.152575,57.166995,60.248447,60.179138,64.013378,
Allendale/Irvington/S. Hilton,farms,86.052382,86.08,79.34,87.787676,,,,,,,
Allendale/Irvington/S. Hilton,fastfd,,,,,,,,,,0.62,
Allendale/Irvington/S. Hilton,gunhom,,0.184991,0.616637,0.369982,0.431646,0.924955,0.739964,0.986619,1.109946,0.369982,0.739964
Allendale/Irvington/S. Hilton,hsaalg,19.86755,20.571429,17.88,20.872274,35.555556,,,,,,
Allendale/Irvington/S. Hilton,hsabio,41.018767,31.178707,32.17,30.30303,59.358289,,,,,,
Allendale/Irvington/S. Hilton,hsaeng,38.016529,34.121622,32.28,27.526132,42.774566,,,,,,
Allendale/Irvington/S. Hilton,hsagov,52.994012,46.031746,,38.52459,49.64539,,,,,,
Allendale/Irvington/S. Hilton,hsattend,1064.0,930.0,862.0,844.0,794.0,735.0,721.0,772.0,,650.0,646.0
