CSA,indicator,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,20_1
Allendale/Irvington/S. Hilton,CSA2010,,,,,,,,,,,,Allendale/Irvington/S. Hilton
Allendale/Irvington/S. Hilton,arrest,,,,,34.454403,21.873201,15.662576,,,,,
Allendale/Irvington/S. Hilton,banks,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
Allendale/Irvington/S. Hilton,biz1_,8.921933,10.970464,9.486166,3.914591,9.15751,5.217391,3.686636,3.846154,2.912621,4.761905,,
Allendale/Irvington/S. Hilton,biz2_,19.330855,15.611814,24.505929,19.217082,14.652,13.478261,16.129032,20.32967,14.07767,7.407407,,
Allendale/Irvington/S. Hilton,biz4_,33.828996,29.113924,34.782609,39.857651,40.6593,30.0,26.728111,29.120879,22.330097,15.873016,,
Allendale/Irvington/S. Hilton,bkln,,,2.390746,,,,,,,,5.024264,
Allendale/Irvington/S. Hilton,busload,,,,,,,,440.279,435.138,,,
Allendale/Irvington/S. Hilton,clogged,4.193131,4.563113,6.166369,5.85805,3.884812,3.453166,3.576494,3.946476,5.241413,5.673059,4.933095,
Allendale/Irvington/S. Hilton,cmos,,6.0,,,4.0,,,,,,,
Allendale/Irvington/S. Hilton,comprop,279.0,278.0,284.0,281.0,281.0,281.0,278.0,278.0,278.0,278.0,,
Allendale/Irvington/S. Hilton,crehab,13.261649,8.633094,13.732394,9.964413,5.338078,6.761566,7.913669,10.071942,8.273381,7.553957,,
Allendale/Irvington/S. Hilton,dirtyst,41.684652,41.006351,48.097675,36.998212,34.408337,54.819017,50.934205,60.307085,31.510144,78.806191,71.159894,
Allendale/Irvington/S. Hilton,elheat,,19.225589,18.930882,21.971394,24.5014,24.107891,23.709993,23.662248,19.878129,20.294897,,
Allendale/Irvington/S. Hilton,hcvhouse,,,,,211.351755,223.348348,219.422043,226.671079,211.685824,199.562089,,
Allendale/Irvington/S. Hilton,heatgas,,68.484848,68.113721,65.96588,65.0746,64.88524,64.973873,65.128457,69.00527,69.25116,,
Allendale/Irvington/S. Hilton,hfai,,,7.75,,,7.526316,,,,,,
Allendale/Irvington/S. Hilton,kra,,,,,,,44.91018,37.5,,,,
Allendale/Irvington/S. Hilton,nohhint,,,,,,,,30.633284,27.486825,24.867462,,
Allendale/Irvington/S. Hilton,novhcl,,29.62963,31.001021,28.778218,30.2832,30.373597,30.372306,29.651448,33.003953,32.02452,,
Allendale/Irvington/S. Hilton,numbus,269.0,237.0,253.0,281.0,273.0,230.0,217.0,182.0,206.0,189.0,,
Allendale/Irvington/S. Hilton,palg1,,,,,,2.77778,4.79042,7.92079,,,,
Allendale/Irvington/S. Hilton,palg2,,,,,,3.57143,1.72414,1.69492,,,,
Allendale/Irvington/S. Hilton,pmath3,,,,,,10.3659,19.6532,7.87037,,,,
Allendale/Irvington/S. Hilton,pmath5,,,,,,4.87805,11.6022,7.38255,,,,
Allendale/Irvington/S. Hilton,pmath8,,,,,,4.96894,4.94505,3.96825,,,,
Allendale/Irvington/S. Hilton,prbprl,,,,6.208371,,,,,,,,
Allendale/Irvington/S. Hilton,pread3,,,,,,12.8049,12.1387,7.51174,,,,
Allendale/Irvington/S. Hilton,pread5,,,,,,6.70732,9.89011,6.15385,,,,
Allendale/Irvington/S. Hilton,pread8,,,,,,6.39535,6.73575,6.15385,,,,
Allendale/Irvington/S. Hilton,pubtran,,18.920283,19.94769,19.615958,21.9986,20.861211,18.901639,19.87315,20.568252,21.172161,,
Allendale/Irvington/S. Hilton,regvote,83.373078,,82.830359,,83.044158,,86.070222,,87.188554,,,
Allendale/Irvington/S. Hilton,smlbus,255.0,226.0,242.0,269.0,258.0,216.0,204.0,169.0,195.0,182.0,,
Allendale/Irvington/S. Hilton,trees,,32.871637,,,,,,32.372913,,,,
Allendale/Irvington/S. Hilton,voted,45.3,,56.952553,,36.013467,,50.481046,,41.205319,,,
Allendale/Irvington/S. Hilton,walked,,3.58224,4.533566,2.681675,2.02984,2.864985,2.377049,1.615826,1.482397,2.227106,,
Allendale/Irvington/S. Hilton,wlksc,,43.971774,,,,,,56.396,,,,
Beechfield/Ten Hills/West Hills,CSA2010,,,,,,,,,,,,Beechfield/Ten Hills/West Hills
Beechfield/Ten Hills/West Hills,arrest,,,,,16.454352,9.129512,7.909328,,,,,
Beechfield/Ten Hills/West Hills,banks,,0.081539,0.081539,0.081539,0.08154,0.081539,0.081539,0.081539,0.081539,0.081539,,
Beechfield/Ten Hills/West Hills,biz1_,3.896104,8.088235,4.255319,5.747126,6.0,4.316547,2.4,3.937008,3.100775,5.128205,,
Beechfield/Ten Hills/West Hills,biz2_,22.077922,12.5,12.056738,19.54023,16.6667,8.633094,13.6,18.897638,13.178295,8.547009,,
Beechfield/Ten Hills/West Hills,biz4_,32.467532,30.147059,29.787234,36.206897,42.0,28.0,21.6,25.19685,21.705426,17.094017,,
Beechfield/Ten Hills/West Hills,bkln,,,4.198792,,,,,,,,4.883832,
Beechfield/Ten Hills/West Hills,busload,,,,,,,,238.177,225.762,,,
